                                                       Column  Outliers
                                     logarithm_ngtdm_Strength        42
                                         wavelet-HHH_glcm_MCC        40
                                  wavelet-HHH_glcm_SumSquares        39
                           exponential_gldm_DependenceEntropy        38
                            wavelet-LHH_firstorder_Uniformity        38
                logarithm_glrlm_ShortRunHighGrayLevelEmphasis        38
                                       square_glcm_SumSquares        37
                    logarithm_glszm_HighGrayLevelZoneEmphasis        37
                               logarithm_glcm_Autocorrelation        37
                                    lbp-2D_glszm_ZoneVariance        37
                         logarithm_gldm_HighGrayLevelEmphasis        37
                logarithm_glszm_LargeAreaLowGrayLevelEmphasis        37
                                        wavelet-LLH_glcm_Idmn        37
                 logarithm_glrlm_LongRunHighGrayLevelEmphasis        37
           logarithm_gldm_SmallDependenceLowGrayLevelEmphasis        37
                     logarithm_glrlm_HighGrayLevelRunEmphasis        37
          logarithm_gldm_SmallDependenceHighGrayLevelEmphasis        36
              exponential_glrlm_ShortRunHighGrayLevelEmphasis        36
               logarithm_glszm_SmallAreaHighGrayLevelEmphasis        36
                                   wavelet-LLH_ngtdm_Contrast        36
          squareroot_gldm_LargeDependenceLowGrayLevelEmphasis        35
                                  wavelet-LHH_glcm_SumSquares        35
                 squareroot_glrlm_LongRunLowGrayLevelEmphasis        35
                           wavelet-LHH_gldm_GrayLevelVariance        35
               squareroot_glszm_LargeAreaLowGrayLevelEmphasis        35
                                    squareroot_ngtdm_Strength        35
           wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized        34
                               squareroot_firstorder_Kurtosis        34
                                        square_ngtdm_Contrast        34
                          wavelet-LHH_glrlm_GrayLevelVariance        34
                              squareroot_glcm_Autocorrelation        33
         exponential_gldm_SmallDependenceLowGrayLevelEmphasis        33
                           squareroot_glszm_LargeAreaEmphasis        33
                                    logarithm_glcm_SumAverage        33
                                wavelet-LHH_glcm_JointEntropy        33
                                logarithm_firstorder_Skewness        33
          logarithm_gldm_LargeDependenceHighGrayLevelEmphasis        33
                                  logarithm_glcm_JointAverage        33
                          wavelet-HHH_glszm_GrayLevelVariance        33
                                  square_glcm_ClusterTendency        33
                        squareroot_gldm_HighGrayLevelEmphasis        32
                           wavelet-LHH_glcm_DifferenceEntropy        32
                                square_gldm_GrayLevelVariance        32
                          exponential_gldm_DependenceVariance        31
                                   logarithm_firstorder_Range        31
                                 logarithm_firstorder_Minimum        31
                                squareroot_glszm_ZoneVariance        31
                            wavelet-HLH_firstorder_Uniformity        30
                                wavelet-HHH_glcm_JointEntropy        30
                   squareroot_glszm_HighGrayLevelZoneEmphasis        30
                          wavelet-LHH_glcm_DifferenceVariance        30
                    squareroot_glrlm_HighGrayLevelRunEmphasis        30
                               wavelet-LHH_firstorder_Entropy        30
                     squareroot_glrlm_LowGrayLevelRunEmphasis        30
                squareroot_glrlm_ShortRunLowGrayLevelEmphasis        29
               squareroot_glrlm_ShortRunHighGrayLevelEmphasis        29
                      logarithm_glrlm_LowGrayLevelRunEmphasis        29
                                   logarithm_ngtdm_Complexity        29
                                squareroot_firstorder_Minimum        28
                                  wavelet-HHL_glcm_SumSquares        28
                                   wavelet-HHL_ngtdm_Strength        28
                            logarithm_glszm_LargeAreaEmphasis        28
                                  squareroot_ngtdm_Complexity        28
                               lbp-2D_glszm_SmallAreaEmphasis        27
                         squareroot_gldm_LowGrayLevelEmphasis        27
                           wavelet-HHL_gldm_GrayLevelVariance        27
              squareroot_glszm_SmallAreaHighGrayLevelEmphasis        27
                   square_glszm_LargeAreaLowGrayLevelEmphasis        27
                          wavelet-HHL_glrlm_GrayLevelVariance        26
           wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized        26
                                              square_glcm_Idn        26
           wavelet-HHH_glszm_GrayLevelNonUniformityNormalized        26
           wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized        25
                           wavelet-HLH_gldm_GrayLevelVariance        25
                  square_glszm_LargeAreaHighGrayLevelEmphasis        25
                 lbp-2D_glszm_SizeZoneNonUniformityNormalized        25
                          diagnostics_Mask-original_VolumeNum        25
                                     square_glcm_JointEntropy        25
                                         square_glcm_Contrast        25
                                     lbp-2D_glszm_ZoneEntropy        25
                                  squareroot_firstorder_Range        25
                                 logarithm_glszm_ZoneVariance        25
         squareroot_gldm_SmallDependenceHighGrayLevelEmphasis        25
                            wavelet-HHL_firstorder_Uniformity        25
               logarithm_glszm_LargeAreaHighGrayLevelEmphasis        25
                              exponential_firstorder_Variance        25
                                exponential_firstorder_Energy        24
                                square_glcm_DifferenceAverage        24
                   square_glrlm_ShortRunHighGrayLevelEmphasis        24
                 gradient_glszm_SmallAreaLowGrayLevelEmphasis        23
                                  wavelet-HLH_glcm_SumSquares        23
                                       square_glcm_SumEntropy        23
                                 squareroot_glcm_JointAverage        23
                              wavelet-HHH_firstorder_Skewness        23
                               square_glszm_LargeAreaEmphasis        23
                                   squareroot_glcm_SumAverage        23
                               wavelet-HHL_firstorder_Entropy        22
              squareroot_glszm_LargeAreaHighGrayLevelEmphasis        22
                           wavelet-LHH_glcm_ClusterProminence        22
                          wavelet-HLH_glrlm_GrayLevelVariance        22
                                   wavelet-HLL_ngtdm_Contrast        22
                          logarithm_gldm_LowGrayLevelEmphasis        22
                                   wavelet-LHL_ngtdm_Strength        21
                             original_glcm_DifferenceVariance        21
             wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis        21
                                     logarithm_ngtdm_Busyness        21
                                              square_glcm_Idm        21
                               square_glcm_DifferenceVariance        21
           exponential_glrlm_RunLengthNonUniformityNormalized        21
                             gradient_gldm_DependenceVariance        21
                              exponential_glrlm_RunPercentage        20
                                  lbp-2D_glszm_ZonePercentage        20
                                wavelet-HLH_glcm_JointEntropy        20
           exponential_gldm_DependenceNonUniformityNormalized        20
                              wavelet-HLH_firstorder_Kurtosis        20
                                   wavelet-HLL_ngtdm_Strength        20
                               original_firstorder_Uniformity        20
                                         wavelet-HLH_glcm_MCC        20
                                      lbp-3D-k_ngtdm_Strength        20
         squareroot_gldm_LargeDependenceHighGrayLevelEmphasis        19
                      lbp-3D-k_glszm_LowGrayLevelZoneEmphasis        19
                     lbp-3D-k_glszm_HighGrayLevelZoneEmphasis        19
                      gradient_glszm_LowGrayLevelZoneEmphasis        19
                              original_gldm_GrayLevelVariance        19
                          wavelet-HLH_glcm_DifferenceVariance        19
                                               square_glcm_Id        19
                           exponential_glrlm_ShortRunEmphasis        19
                                square_glcm_DifferenceEntropy        19
                                original_glcm_ClusterTendency        19
                        square_glrlm_HighGrayLevelRunEmphasis        19
                               wavelet-HLH_firstorder_Entropy        19
                          log-sigma-1-0-mm-3D_glcm_SumSquares        19
              gradient_gldm_DependenceNonUniformityNormalized        19
                                        square_ngtdm_Busyness        19
                                    lbp-3D-k_ngtdm_Coarseness        19
                              wavelet-LHH_firstorder_Skewness        19
                              wavelet-HHH_firstorder_Kurtosis        18
                           wavelet-HLH_glcm_DifferenceEntropy        18
                              gradient_glcm_ClusterProminence        18
                           squareroot_glszm_GrayLevelVariance        18
                                        wavelet-HLL_glcm_Idmn        18
                                    square_glszm_ZoneVariance        18
                                     original_glcm_SumSquares        18
                               squareroot_firstorder_Skewness        18
                                             original_glcm_Id        18
                                    original_glcm_JointEnergy        18
              lbp-3D-k_glszm_GrayLevelNonUniformityNormalized        18
                             lbp-3D-k_glszm_GrayLevelVariance        18
                              wavelet-HHL_firstorder_Kurtosis        18
                           wavelet-HLH_glcm_ClusterProminence        17
                           log-sigma-4-0-mm-3D_ngtdm_Strength        17
                                wavelet-HHL_glcm_JointEntropy        17
                           wavelet-HHL_glcm_DifferenceEntropy        17
                               lbp-2D_glszm_LargeAreaEmphasis        17
                   log-sigma-1-0-mm-3D_gldm_GrayLevelVariance        17
                              original_glcm_DifferenceAverage        17
                     exponential_glrlm_RunLengthNonUniformity        17
         exponential_gldm_LargeDependenceLowGrayLevelEmphasis        17
                                       original_glcm_Contrast        17
                                exponential_glszm_ZoneEntropy        17
                                           original_glcm_Idmn        16
                           squareroot_glcm_DifferenceVariance        16
                              original_glcm_ClusterProminence        16
                             gradient_glszm_LargeAreaEmphasis        16
                              original_glcm_DifferenceEntropy        16
                    square_glrlm_ShortRunLowGrayLevelEmphasis        16
                         log-sigma-4-0-mm-3D_ngtdm_Complexity        16
                                     logarithm_ngtdm_Contrast        16
                                            original_glcm_Idm        16
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis        16
                                 square_firstorder_Uniformity        16
                                      original_ngtdm_Contrast        16
                          wavelet-HHH_glszm_LargeAreaEmphasis        15
              wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis        15
                           wavelet-HHL_glcm_ClusterProminence        15
                                 wavelet-HLL_glcm_JointEnergy        15
                            wavelet-LLH_firstorder_Uniformity        15
                                   wavelet-HLH_ngtdm_Strength        15
                            wavelet-LHL_firstorder_Uniformity        15
                                  original_glszm_ZoneVariance        15
                                  gradient_glszm_ZoneVariance        15
                squareroot_glrlm_LongRunHighGrayLevelEmphasis        15
                          exponential_firstorder_90Percentile        15
                                   gradient_glcm_ClusterShade        15
                             original_glszm_LargeAreaEmphasis        15
             wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis        14
                          log-sigma-1-0-mm-3D_glcm_SumEntropy        14
                               wavelet-HHL_glszm_ZoneVariance        14
            log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis        14
                square_glszm_GrayLevelNonUniformityNormalized        14
                       exponential_firstorder_RootMeanSquared        14
                             gradient_glszm_GrayLevelVariance        14
                            square_gldm_HighGrayLevelEmphasis        14
                          wavelet-HHL_glcm_DifferenceVariance        14
                                   original_glcm_JointEntropy        14
                                    square_firstorder_Entropy        14
                             original_firstorder_10Percentile        14
                              wavelet-HLH_firstorder_Skewness        14
                                 wavelet-HLH_ngtdm_Complexity        14
                          wavelet-LHH_glszm_GrayLevelVariance        14
             wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis        14
                          wavelet-HHL_glszm_LargeAreaEmphasis        14
                     exponential_gldm_LargeDependenceEmphasis        14
                                 wavelet-LHL_glcm_JointEnergy        14
                                 wavelet-LHH_glcm_JointEnergy        14
                                   wavelet-HLL_ngtdm_Busyness        14
                 gradient_glszm_LargeAreaLowGrayLevelEmphasis        14
                            squareroot_glcm_ClusterProminence        14
                                    wavelet-LHL_glcm_Contrast        14
                             wavelet-LHL_glcm_ClusterTendency        14
                            log-sigma-1-0-mm-3D_glcm_Contrast        13
           exponential_firstorder_RobustMeanAbsoluteDeviation        13
                                 exponential_firstorder_Range        13
       log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis        13
                               exponential_firstorder_Maximum        13
                                wavelet-LLL_glcm_ClusterShade        13
                lbp-3D-k_glszm_LargeAreaHighGrayLevelEmphasis        13
                        log-sigma-1-0-mm-3D_glcm_JointEntropy        13
                                      lbp-3D-k_ngtdm_Contrast        13
                                    lbp-3D-m2_firstorder_Mean        13
   log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized        13
                             wavelet-HHL_glszm_ZonePercentage        13
                             wavelet-HLL_glcm_ClusterTendency        13
                           wavelet-LHL_glcm_ClusterProminence        13
                                         wavelet-LHL_glcm_MCC        13
                          wavelet-LHH_glszm_LargeAreaEmphasis        13
log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis        13
                      wavelet-HHH_glszm_SizeZoneNonUniformity        13
                exponential_glrlm_LongRunLowGrayLevelEmphasis        13
                          wavelet-LHL_glcm_DifferenceVariance        13
                           wavelet-HHH_glcm_DifferenceEntropy        13
                 exponential_firstorder_MeanAbsoluteDeviation        13
                           log-sigma-5-0-mm-3D_ngtdm_Busyness        13
                             lbp-3D-k_glszm_LargeAreaEmphasis        13
                                 wavelet-HLL_ngtdm_Complexity        13
                 lbp-3D-k_glszm_LargeAreaLowGrayLevelEmphasis        13
              exponential_glszm_SmallAreaLowGrayLevelEmphasis        13
 log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis        13
                  log-sigma-5-0-mm-3D_glszm_GrayLevelVariance        12
                                  wavelet-HLH_firstorder_Mean        12
                                  square_glcm_Autocorrelation        12
                                            original_glcm_Idn        12
                                 wavelet-LHL_ngtdm_Complexity        12
                       log-sigma-1-0-mm-3D_firstorder_Entropy        12
               log-sigma-4-0-mm-3D_firstorder_RootMeanSquared        12
                                  original_firstorder_Entropy        12
                                  wavelet-LHL_glcm_SumSquares        12
                            squareroot_glcm_DifferenceEntropy        12
                                exponential_firstorder_Median        12
                                log-sigma-3-0-mm-3D_glcm_Imc2        12
                     log-sigma-2-0-mm-3D_glszm_ZonePercentage        12
             log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis        12
                             wavelet-HHH_glszm_ZonePercentage        12
                              wavelet-HHH_firstorder_Variance        12
                            exponential_glrlm_LongRunEmphasis        12
                                 original_firstorder_Kurtosis        12
                           wavelet-HLL_glcm_ClusterProminence        12
                            wavelet-HLL_firstorder_Uniformity        12
                                 wavelet-HHL_ngtdm_Complexity        12
              original_glrlm_GrayLevelNonUniformityNormalized        12
                              wavelet-LHH_firstorder_Kurtosis        12
                     log-sigma-1-0-mm-3D_glszm_ZonePercentage        12
 log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis        12
     log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis        12
                square_glrlm_RunLengthNonUniformityNormalized        12
                               square_glszm_SmallAreaEmphasis        12
                                      square_glcm_JointEnergy        12
                                square_glcm_ClusterProminence        12
                                original_glcm_InverseVariance        11
                                  lbp-3D-k_glszm_ZoneVariance        11
                          wavelet-HLH_glszm_GrayLevelVariance        11
                                        wavelet-HLH_glcm_Imc2        11
                                      square_glcm_Correlation        11
                                square_gldm_DependenceEntropy        11
                             original_glrlm_GrayLevelVariance        11
                    exponential_firstorder_InterquartileRange        11
                                      original_ngtdm_Busyness        11
                  log-sigma-1-0-mm-3D_glcm_DifferenceVariance        11
             wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis        11
                             wavelet-LHH_glszm_ZonePercentage        11
                                 wavelet-LHH_ngtdm_Complexity        11
                                        wavelet-LHL_glcm_Idmn        11
                           wavelet-LHL_gldm_GrayLevelVariance        11
                                         wavelet-LHH_glcm_Idn        11
                              wavelet-HHL_firstorder_Variance        11
                                        wavelet-LLH_glcm_Imc2        11
                                  wavelet-LLH_glcm_SumSquares        11
                                    squareroot_ngtdm_Busyness        11
                                wavelet-LHL_glcm_JointEntropy        11
                          exponential_firstorder_10Percentile        11
                   log-sigma-1-0-mm-3D_glcm_ClusterProminence        11
                                  wavelet-LHH_glcm_SumEntropy        11
                                wavelet-HHH_glrlm_RunVariance        11
             log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis        11
                         log-sigma-1-0-mm-3D_glrlm_RunEntropy        11
                                 lbp-3D-k_firstorder_Kurtosis        11
                         lbp-3D-m2_firstorder_RootMeanSquared        11
             wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis        11
                                logarithm_firstorder_Variance        11
                              wavelet-HLH_firstorder_Variance        11
                                  wavelet-HLL_glcm_SumSquares        11
                        original_gldm_LargeDependenceEmphasis        11
                original_glszm_LargeAreaHighGrayLevelEmphasis        10
                                lbp-3D-k_glcm_ClusterTendency        10
                              lbp-3D-k_glcm_ClusterProminence        10
                                lbp-3D-k_glcm_Autocorrelation        10
                           square_gldm_GrayLevelNonUniformity        10
                                 log-sigma-1-0-mm-3D_glcm_Idm        10
                     wavelet-LHL_gldm_SmallDependenceEmphasis        10
                                   wavelet-LHL_ngtdm_Contrast        10
                          wavelet-LHL_glrlm_GrayLevelVariance        10
                              wavelet-LHH_firstorder_Variance        10
                   log-sigma-1-0-mm-3D_glcm_DifferenceEntropy        10
                                  log-sigma-1-0-mm-3D_glcm_Id        10
                   log-sigma-1-0-mm-3D_glcm_DifferenceAverage        10
                    log-sigma-1-0-mm-3D_firstorder_Uniformity        10
                     log-sigma-1-0-mm-3D_glcm_ClusterTendency        10
                               squareroot_firstorder_Variance        10
                               wavelet-HLH_firstorder_Minimum        10
                              wavelet-LLL_firstorder_Skewness        10
   log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized        10
                  log-sigma-1-0-mm-3D_gldm_DependenceVariance        10
      log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis        10
 log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis        10
                  log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance        10
        log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis        10
                log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis        10
      log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis        10
              log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity        10
                                         wavelet-LLH_glcm_Idn        10
                                      gradient_ngtdm_Busyness        10
                                    gradient_ngtdm_Coarseness        10
                                        wavelet-LHH_glcm_Imc2        10
                               wavelet-HHH_glszm_ZoneVariance        10
                                             square_glcm_Imc2        10
                            wavelet-LHH_glrlm_LongRunEmphasis        10
        exponential_gldm_LargeDependenceHighGrayLevelEmphasis        10
                                     original_glcm_SumEntropy        10
                     square_glrlm_LongRunLowGrayLevelEmphasis        10
      log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis        10
                                  lbp-3D-m2_firstorder_Median        10
                               wavelet-LHH_glszm_ZoneVariance        10
             wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis        10
   log-sigma-5-0-mm-3D_gldm_DependenceNonUniformityNormalized        10
                                         wavelet-HLL_glcm_Idn        10
                                         wavelet-HHL_glcm_MCC        10
                           square_glszm_SizeZoneNonUniformity        10
                 square_glszm_SizeZoneNonUniformityNormalized        10
                                   original_glszm_ZoneEntropy        10
              original_glrlm_RunLengthNonUniformityNormalized        10
                                 original_glrlm_RunPercentage        10
              original_glszm_GrayLevelNonUniformityNormalized        10
                             original_glszm_GrayLevelVariance        10
           wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized        10
                              exponential_firstorder_Kurtosis        10
                                  exponential_firstorder_Mean        10
                           wavelet-LHL_gldm_DependenceEntropy        10
           wavelet-LHL_gldm_DependenceNonUniformityNormalized        10
                          wavelet-LHL_gldm_DependenceVariance        10
              square_gldm_LargeDependenceLowGrayLevelEmphasis        10
                             wavelet-LLL_glszm_ZonePercentage        10
        wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis        10
                           wavelet-HLL_gldm_GrayLevelVariance        10
                                 wavelet-HLH_firstorder_Range        10
                               wavelet-HLH_glszm_ZoneVariance        10
                     wavelet-HLH_gldm_LargeDependenceEmphasis        10
                               wavelet-HLH_firstorder_Maximum        10
                                         wavelet-LLH_glcm_MCC        10
                                  original_firstorder_Maximum        10
                                     lbp-3D-k_glcm_SumAverage         9
                           wavelet-LLH_gldm_GrayLevelVariance         9
                         log-sigma-2-0-mm-3D_ngtdm_Complexity         9
           wavelet-LHL_glrlm_RunLengthNonUniformityNormalized         9
                        lbp-3D-k_glszm_GrayLevelNonUniformity         9
           logarithm_gldm_LargeDependenceLowGrayLevelEmphasis         9
                                   wavelet-LHH_ngtdm_Strength         9
                           wavelet-LLL_glcm_ClusterProminence         9
                                   lbp-3D-k_firstorder_Median         9
                          lbp-3D-k_firstorder_RootMeanSquared         9
                                 lbp-3D-k_firstorder_Skewness         9
                                        wavelet-HLH_glcm_Imc1         9
                             wavelet-HLH_glszm_ZonePercentage         9
                     log-sigma-1-0-mm-3D_glcm_InverseVariance         9
                          wavelet-LLH_glcm_DifferenceVariance         9
                           wavelet-LLH_glcm_ClusterProminence         9
                                wavelet-LHH_glrlm_RunVariance         9
                     wavelet-LHH_glszm_GrayLevelNonUniformity         9
                          wavelet-LLL_glcm_DifferenceVariance         9
                                 wavelet-LHL_ngtdm_Coarseness         9
              lbp-3D-k_glrlm_RunLengthNonUniformityNormalized         9
   log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformityNormalized         9
                                         wavelet-LHL_glcm_Idm         9
                  log-sigma-5-0-mm-3D_firstorder_10Percentile         9
                                       square_glcm_SumAverage         9
                                     square_glcm_JointAverage         9
                           wavelet-LHL_glcm_DifferenceEntropy         9
                              wavelet-LHL_firstorder_Variance         9
                      log-sigma-1-0-mm-3D_firstorder_Variance         9
             log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity         9
       log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis         9
   log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized         9
                                          wavelet-LHL_glcm_Id         9
                                  square_glszm_ZonePercentage         9
                       squareroot_gldm_GrayLevelNonUniformity         9
                                         squareroot_glcm_Imc1         9
            log-sigma-5-0-mm-3D_glrlm_LowGrayLevelRunEmphasis         9
                          wavelet-LLL_firstorder_10Percentile         9
                                      gradient_ngtdm_Contrast         9
                gradient_glszm_SmallAreaHighGrayLevelEmphasis         9
                                              square_glcm_MCC         9
                             gradient_firstorder_90Percentile         9
              square_gldm_SmallDependenceLowGrayLevelEmphasis         9
                                  wavelet-LHL_glcm_SumEntropy         9
                           wavelet-LHL_glcm_DifferenceAverage         9
                          wavelet-HLH_glszm_LargeAreaEmphasis         9
           wavelet-LLH_gldm_DependenceNonUniformityNormalized         9
              log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity         9
                       wavelet-HLH_firstorder_RootMeanSquared         9
                                wavelet-HLH_firstorder_Energy         9
                                 gradient_firstorder_Variance         9
                           lbp-3D-k_gldm_LowGrayLevelEmphasis         9
                          lbp-3D-k_gldm_HighGrayLevelEmphasis         9
                               lbp-3D-k_firstorder_Uniformity         9
                               wavelet-LHL_firstorder_Entropy         9
                                   lbp-3D-k_glcm_JointAverage         9
                                     lbp-3D-k_glcm_SumSquares         9
                                   lbp-3D-k_glcm_ClusterShade         9
                              lbp-3D-k_gldm_GrayLevelVariance         9
    log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized         8
                                    lbp-3D-k_glcm_JointEnergy         8
                             lbp-3D-k_gldm_DependenceVariance         8
                                           lbp-3D-k_glcm_Idmn         8
                          wavelet-HLL_glszm_GrayLevelVariance         8
                     wavelet-LHL_gldm_LargeDependenceEmphasis         8
                  log-sigma-1-0-mm-3D_firstorder_10Percentile         8
                          wavelet-LLL_gldm_DependenceVariance         8
           wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation         8
                       wavelet-LHL_firstorder_RootMeanSquared         8
                                wavelet-LLH_glcm_JointEntropy         8
                             gradient_glrlm_GrayLevelVariance         8
                    wavelet-LLH_firstorder_InterquartileRange         8
             wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis         8
                     wavelet-LLH_gldm_SmallDependenceEmphasis         8
                          wavelet-LLH_gldm_DependenceVariance         8
                log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis         8
                            squareroot_glrlm_ShortRunEmphasis         8
                       log-sigma-2-0-mm-3D_glszm_ZoneVariance         8
      log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis         8
                               wavelet-HLL_glszm_ZoneVariance         8
                                    wavelet-LLH_glcm_Contrast         8
                             original_gldm_DependenceVariance         8
                          wavelet-HLL_glcm_DifferenceVariance         8
                              wavelet-HLL_firstorder_Variance         8
                                 wavelet-HHL_ngtdm_Coarseness         8
           wavelet-HLL_gldm_DependenceNonUniformityNormalized         8
        wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis         8
                           squareroot_glrlm_GrayLevelVariance         8
                    wavelet-HLL_firstorder_InterquartileRange         8
                          square_gldm_SmallDependenceEmphasis         8
                          log-sigma-2-0-mm-3D_firstorder_Mean         8
                               lbp-2D_gldm_DependenceVariance         8
                             gradient_glszm_SmallAreaEmphasis         8
                  log-sigma-5-0-mm-3D_gldm_DependenceVariance         8
                            squareroot_gldm_GrayLevelVariance         8
                     log-sigma-3-0-mm-3D_glszm_ZonePercentage         8
            squareroot_glrlm_GrayLevelNonUniformityNormalized         8
                                 exponential_glrlm_RunEntropy         8
                                exponential_glrlm_RunVariance         8
                  log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis         8
                        log-sigma-1-0-mm-3D_glrlm_RunVariance         8
           log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis         8
                        original_glrlm_GrayLevelNonUniformity         8
                             wavelet-LHL_glszm_ZonePercentage         8
                                log-sigma-1-0-mm-3D_glcm_Imc2         8
                  log-sigma-4-0-mm-3D_glcm_DifferenceVariance         8
                          wavelet-HHH_glcm_DifferenceVariance         8
